02442,03915,0391513,ｱｵﾓﾘｹﾝ,ｻﾝﾉﾍｸﾞﾝｺﾞﾉﾍﾏﾁ,ﾌﾙﾀﾞﾃ,青森県,三戸郡五戸町,古舘,0,0,0,1,1,5
02442,03915,0391564,ｱｵﾓﾘｹﾝ,ｻﾝﾉﾍｸﾞﾝｺﾞﾉﾍﾏﾁ,ﾌﾙﾀﾞﾃｼﾓｶﾜﾗ,青森県,三戸郡五戸町,古舘下川原,0,0,0,1,1,5
02442,03915,0391513,ｱｵﾓﾘｹﾝ,ｻﾝﾉﾍｸﾞﾝｺﾞﾉﾍﾏﾁ,ﾌﾙﾀﾞﾃﾑｶｲ,青森県,三戸郡五戸町,古舘向,0,0,0,1,1,5
02442,03915,0391513,ｱｵﾓﾘｹﾝ,ｻﾝﾉﾍｸﾞﾝｺﾞﾉﾍﾏﾁ,ﾌﾙﾀﾞﾃﾑｶｲｶﾜﾗ,青森県,三戸郡五戸町,古舘向川原,0,0,0,1,1,5
02442,03915,0391513,ｱｵﾓﾘｹﾝ,ｻﾝﾉﾍｸﾞﾝｺﾞﾉﾍﾏﾁ,ﾌﾙﾀﾞﾃﾜｷ,青森県,三戸郡五戸町,古舘脇,0,0,0,1,1,5
20207,382,3820901,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｵｶﾞﾜﾗ,長野県,須坂市,小河原,0,0,0,0,1,5
20207,382,3820071,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｵｶﾞﾜﾗﾏﾁ,長野県,須坂市,小河原町,0,0,0,0,1,5
20207,382,3820924,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｶﾒｸﾞﾗ,長野県,須坂市,亀倉,0,0,0,0,1,5
20207,382,3820033,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｶﾒｸﾞﾗﾏﾁ,長野県,須坂市,亀倉町,0,0,0,0,1,5
20207,382,3820907,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｷﾀｱｲﾉｼﾏ,長野県,須坂市,北相之島,0,0,0,0,1,5
20207,382,3820061,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｷﾀｱｲﾉｼﾏﾏﾁ,長野県,須坂市,北相之島町,0,0,0,0,1,5
20207,382,3820002,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｷﾀｱｻﾋｶﾞｵｶﾏﾁ,長野県,須坂市,北旭ケ丘町,0,0,0,0,1,5
20207,382,3820092,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｷﾀﾊﾗﾏﾁ,長野県,須坂市,北原町,0,0,0,0,1,5
20207,382,3820933,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｸﾀﾝﾀﾞ,長野県,須坂市,九反田,0,0,0,0,1,5
20207,382,3820914,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｺｳﾀｶ,長野県,須坂市,幸高,0,0,0,0,1,5
20207,382,3820931,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｺﾞｶﾝ,長野県,須坂市,五閑,0,0,0,0,1,5
20207,382,3820906,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｺｼﾞﾏ,長野県,須坂市,小島,0,0,0,0,1,5
20207,382,3820912,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｺﾔﾏ,長野県,須坂市,小山,0,0,0,0,1,5
20207,382,3820929,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｻｶﾀ,長野県,須坂市,坂田,0,0,0,0,1,5
20207,382,3820026,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｻｶﾀﾏﾁ,長野県,須坂市,坂田町,0,0,0,0,1,5
20207,382,3820916,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｼｵｶﾞﾜ,長野県,須坂市,塩川,0,0,0,0,1,5
20207,382,3820922,ﾅｶﾞﾉｹﾝ,ｽｻﾞｶｼ,ｼｵﾉ,長野県,須坂市,塩野,0,0,0,0,1,5
